Id,plot,subplot,flag,pid,area_ac,bnd_km
0,61,,,804,5.416,0.441
0,58,,,805,9.765,0.448
0,59,,,806,7.398,0.312
0,60,,,807,19.150,0.271
0,6,,,808,0.761,0.194
0,22,,,809,5.410,0.197
0,21,,,810,1.586,0.160
0,23,,,811,2.558,0.221
0,20,,,812,13.238,0.068
0,29,,,813,2.610,0.227
0,29,,,814,1.931,0.443
0,29,,,815,2.370,0.461
0,29,,,816,0.924,0.428
0,29,,,817,1.976,0.365
0,29,,,818,2.532,0.296
0,28,,,819,9.224,0.074
0,33,,,820,0.760,0.000
0,24,,,821,0.904,0.273
0,33,,,822,4.321,0.000
0,34,,,823,0.573,0.000
0,34,,,824,0.686,0.000
0,34,,,825,0.686,0.000
0,29,,,826,2.008,0.337
0,25,,,827,4.366,0.322
0,26,,,828,0.615,0.248
0,26,,,829,1.559,0.261
0,25,,,830,2.209,0.248
0,27,,,831,2.084,0.111
0,19,,,832,8.712,0.108
0,18,,,833,5.238,0.000
0,12,,,834,6.711,0.107
0,18,,,835,5.414,0.000
0,11,,,836,11.578,0.000
0,14,,,837,5.634,0.000
0,14,,,838,3.488,0.055
0,14,,,839,4.301,0.124
0,13,,,840,5.786,0.111
0,14,,,841,3.799,0.137
0,14,,,842,4.035,0.188
0,17,,,843,3.473,0.000
0,17,,,844,5.363,0.000
0,16,,,845,6.494,0.000
0,15,,,846,3.459,0.000
0,15,,,847,4.942,0.000
0,15,,,848,4.221,0.000
0,15,,,849,4.998,0.000
0,228,,,850,19.298,0.313
0,228,,,851,0.793,0.661
0,228,,,852,8.147,0.336
0,121,,,853,0.332,0.593
0,121,,,854,0.221,0.655
0,121,,,855,1.031,0.741
0,121,,,856,0.137,0.749
0,121,,,857,0.507,0.714
0,121,,unclear subplots,858,0.206,0.701
0,121,,unclear subplots,859,0.573,0.696
0,122,,,860,0.555,0.502
0,122,,,861,0.729,0.487
0,122,,,862,2.126,0.483
0,108,,,863,1.003,0.111
0,108,,,864,0.596,0.153
0,122,,,865,0.824,0.668
0,122,,,866,2.677,0.546
0,109,,,867,0.585,0.187
0,109,,,868,0.944,0.297
0,109,,,869,0.483,0.373
0,109,,,870,0.559,0.370
0,108,,,871,0.895,0.120
0,109,,,872,1.634,0.193
0,109,,,873,1.000,0.263
0,109,,,874,1.733,0.225
0,109,,,875,2.003,0.284
0,109,,,876,1.903,0.340
0,109,,,877,0.567,0.368
0,113,,,878,0.540,0.449
0,113,,unclear subplots,879,2.005,0.410
0,101,,,880,0.198,0.247
0,101,,,881,1.530,0.264
0,101,,,882,2.011,0.247
0,103,,,883,1.227,0.178
0,103,,,884,1.182,0.081
0,103,,,885,0.581,0.077
0,103,,,886,0.345,0.111
0,103,,,887,0.810,0.132
0,103,,,888,0.859,0.000
0,102,,,889,1.523,0.188
0,103,,,890,2.124,0.017
0,99,,unclear boundaries,891,1.535,0.000
0,98,,,892,0.481,0.000
0,98,,,893,1.289,0.000
0,96,,,894,1.178,0.032
0,96,,,895,0.840,0.080
0,96,,,896,1.073,0.113
0,94,,,897,1.451,0.149
0,94,,,898,0.822,0.179
0,94,,,899,0.793,0.201
0,94,,,900,0.599,0.234
0,94,,,901,0.612,0.220
0,100,,,902,0.431,0.414
0,124,,,903,0.639,0.511
0,123,,,904,4.611,0.449
0,124,,,905,0.608,0.470
0,130,,,906,0.221,0.662
0,130,,,907,0.489,0.624
0,130,,,908,2.135,0.654
0,130,,,909,1.070,0.787
0,130,,,910,1.147,0.787
0,124,,,911,0.444,0.457
0,124,,unclear,912,0.104,0.509
0,124,,,913,0.645,0.477
0,100,,,914,4.612,0.355
0,124,,,915,1.740,0.539
0,130,,,916,1.890,0.726
0,130,,,917,1.196,0.807
0,129,,,918,5.347,0.695
0,138,,,919,1.878,0.794
0,128,,unclear,920,1.766,0.494
0,126,,,921,0.448,0.517
0,126,,,922,1.421,0.524
0,127,,,923,2.733,0.597
0,84,,,924,2.079,0.372
0,84,,,925,3.325,0.371
0,84,,,926,0.349,0.494
0,84,,,927,0.087,0.536
0,84,,,928,1.247,0.454
0,91,,,929,1.459,0.000
0,90,,,930,0.381,0.068
0,90,,,931,0.313,0.215
0,92,,,932,1.299,0.000
0,90,,,933,1.990,0.060
0,90,,,934,1.477,0.098
0,90,,,935,2.328,0.160
0,97,,,936,0.558,0.058
0,97,,,937,2.019,0.000
0,97,,,938,0.770,0.085
0,97,,,939,4.728,0.000
