Plot,Flag,sub,pid,area_ac,bnd_km
154,,,335,565.331,0.000
154,,,336,4.666,0.608
143,,,337,15.869,0.404
154,,,338,2.188,0.427
154,,,339,2.223,0.435
154,,,340,4.285,0.451
154,,,341,5.804,0.508
154,,,342,2.585,0.333
154,,,343,1.997,0.331
154,,,344,2.188,0.357
22,,,345,2.213,0.393
25,,,346,1.691,0.544
N/A,Unknown Plot #,,347,0.391,0.221
150,,,348,3.108,0.608
150,,,349,0.327,0.561
N/A,Unknown Plot #,,350,0.538,0.629
N/A,Unknown Plot #,,351,2.273,0.782
N/A,Unknown Plot #,,352,0.828,0.000
N/A,Unknown Plot #,,353,0.216,0.000
N/A,Unknown Plot #,,354,0.161,1.122
192,,,355,1.442,1.124
193,,,356,2.302,1.091
N/A,Unknown Plot #,,357,0.679,0.775
162,,,358,0.755,0.821
N/A,Unknown Plot #,,359,8.014,0.000
120,,,360,1.885,0.916
N/A,Unknown Plot #,,361,0.870,1.031
187,,,362,0.976,0.969
N/A,Unknown Plot #,,363,0.952,1.165
N/A,Unknown Plot #,,364,2.141,0.975
N/A,Unknown Plot #,,365,0.443,0.524
N/A,Unknown Plot #,,366,0.492,0.614
N/A,Unknown Plot #,,367,0.569,0.811
N/A,Unknown Plot #,,368,0.667,0.908
311,,,369,1.282,0.469
317,,,370,2.004,0.429
N/A,Unknown Plot #,,371,0.678,0.381
N/A,Unknown Plot #,,372,1.933,0.492
N/A,Unknown Plot #,,373,0.951,0.560
314,,,374,0.627,0.634
N/A,Unknown Plot #,,375,0.766,0.000
N/A,Unknown Plot #,,376,0.722,0.446
N/A,Unknown Plot #,,377,0.430,0.514
N/A,Unknown Plot #,,378,6.695,0.419
N/A,Unknown Plot #,,379,0.256,0.529
N/A,Unknown Plot #,,380,0.297,0.497
N/A,Unknown Plot #,,381,10.457,0.000
248,,,382,1.521,0.438
N/A,Unknown Plot #,,383,0.374,0.534
N/A,Unknown Plot #,,384,0.295,0.924
226,,,385,1.578,0.958
N/A,Unknown Plot #,,386,0.472,0.973
N/A,Unknown Plot #,,387,0.426,1.170
N/A,Unknown Plot #,,388,1.272,1.126
172,,,389,1.311,0.000
173,,,390,1.280,0.096
257,,,391,1.615,0.000
N/A,Unknown Plot #,,392,0.723,0.459
N/A,Unknown Plot #,,393,0.196,0.412
132,,,394,30.641,0.000
N/A,Unknown Plot #,,395,0.330,1.028
N/A,Unknown Plot #,,396,1.490,1.032
195,,,397,2.477,0.969
77,,,398,3.017,0.863
N/A,Unknown Plot #,,399,1.382,0.292
286,,,400,18.799,0.142
287,,,401,0.752,0.397
288,,,402,1.494,0.446
289,,,403,0.905,0.486
290,,,404,20.073,0.285
