Plot,Sub,Flag,pid,area_ac,bnd_km
536,,,409,0.152,684.675
536,,,410,0.139,689.310
536,,,411,0.185,695.010
536,,,412,0.298,673.477
537,,,413,34.226,625.828
536,,,414,1.549,731.679
536,,,415,2.668,622.775
534,,,416,3.423,683.751
536,,,417,0.950,622.027
536,,,418,0.788,630.934
534,,,419,1.934,681.602
534,,,420,2.982,680.191
517,,,421,1.037,1187.593
517,,,422,7.457,1027.241
518,,,423,9.768,752.774
519,,,424,5.478,849.937
519,,,425,6.732,772.187
593,,,426,14.837,571.985
520,,,427,12.793,765.354
521,,,428,4.535,978.667
513,,,429,0.805,1408.480
513,,,430,17.261,989.693
510,,,431,6.884,780.194
510,,,432,9.040,697.528
512,,,433,29.316,822.323
461,,,434,3.931,848.111
461,,,435,3.364,1015.567
511,,,436,14.072,841.282
461,,,437,11.247,1118.915
460,,,438,17.480,876.778
460,,,439,0.817,1423.777
460,,,440,2.066,1331.156
464,,,441,5.566,1116.259
464,,,442,6.766,1027.915
464,,,443,8.764,1036.779
464,,,444,1.347,942.857
464,,,445,1.365,983.246
459,,,446,3.722,1430.260
459,,,447,5.211,1368.982
465,,,448,14.296,1147.585
465,,,449,3.808,1401.257
465,,,450,1.211,1522.495
465,,,451,0.706,1536.308
465,,,452,0.848,1555.934
467,,,453,0.512,1319.038
467,,,454,0.279,1356.840
467,,,455,0.416,1348.269
467,,,456,1.289,1306.593
467,,,457,3.310,1344.758
463,,,458,4.015,897.337
463,,,459,2.345,849.423
463,,,460,2.536,803.614
463,,,461,0.646,798.661
467,,,462,0.095,1432.975
467,,,463,0.639,1288.147
467,,,464,0.607,1250.738
467,,,465,0.251,1384.120
217,,,466,0.979,1437.801
467,,,467,0.431,1274.922
467,,,468,0.079,1424.750
467,,,469,0.586,1379.922
467,,,470,0.274,1324.361
467,,,471,0.407,1287.815
469,,,472,0.198,1146.462
469,,,473,1.539,1083.613
468,,,474,0.125,1247.945
468,,,475,0.877,1204.006
468,,,476,3.892,1180.176
469,,,477,12.561,928.915
470,,,478,0.397,1024.449
470,,,479,1.937,907.859
471,,,480,0.454,1069.319
471,,unlabeled subplot,481,0.156,1092.729
471,,,482,2.875,1083.461
472,,,483,12.069,581.949
501,,,484,6.042,240.408
501,,,485,12.390,0.000
500,,,486,27.035,0.000
498,,,487,14.142,0.000
497,,,488,9.216,0.000
496,,,489,9.450,0.000
499,,,490,9.379,198.909
499,,,491,1.719,354.958
499,,,492,6.816,276.242
473,,,493,1.234,284.292
473,,,494,5.638,223.648
473,,,495,7.058,414.719
495,,,496,11.357,0.000
474,,,497,34.124,124.331
475,,,498,16.468,642.663
494,,,499,9.700,0.000
493,,,500,11.359,0.000
493,,,501,9.436,116.314
492,,,502,10.614,0.000
481,,,503,1.586,308.819
481,,,504,4.129,382.130
481,,,505,4.002,568.356
476,,,506,32.440,274.104
491,,,507,10.082,153.534
478,,estimate of plot #,508,7.110,334.360
477,,,509,7.237,244.469
477,,,510,8.541,388.451
478,,estimate of plot #,511,3.064,829.859
763,,,512,4.258,943.767
763,,,513,1.103,1077.143
763,,,514,2.071,997.483
489,,,515,1.815,40.229
490,,estimate of plot #,516,14.260,0.000
488,,,517,8.595,32.999
752,,,518,1.143,336.943
482,,,519,0.534,825.541
482,,,520,7.925,543.366
482,,,521,5.389,368.102
484,,,522,2.171,501.387
484,,,523,2.465,247.579
484,,,524,3.742,326.119
484,,,525,8.638,272.921
484,,,526,0.811,321.514
485,,,527,2.987,238.081
486,,,528,0.262,248.644
486,,,529,0.436,240.875
489,,,530,2.281,0.000
751,,,531,2.541,236.034
487,,,532,16.270,0.000
753,,,533,1.403,442.590
754,,,534,1.763,646.160
483,,,535,10.384,433.849
201,,,536,0.780,857.856
201,,,537,2.444,904.516
201,,,538,1.606,1009.674
201,,,539,3.785,988.733
199,,,540,30.247,498.736
200,,,541,8.539,750.259
202,,,542,2.500,1236.123
203,,,543,9.592,1276.016
202,,,544,6.686,1087.892
206,,,545,4.703,1083.274
207,,,546,3.869,1060.062
208,,,547,10.439,931.006
209,,,548,8.982,874.968
480,,,549,3.035,921.386
479,,,550,1.463,1065.935
755,,,551,2.179,885.018
211,,,552,5.852,1227.301
205,,,553,4.150,1233.132
215,,,554,1.489,1377.881
213,,,555,1.223,1444.473
213,,,556,0.381,1403.835
213,,,557,0.828,1479.029
213,,,558,1.307,1454.587
213,,,559,0.995,1417.128
212,,,560,3.990,1332.546
214,,,561,1.374,1364.712
225,,,562,2.496,1445.049
224,,,563,0.493,1523.189
223,,,564,1.296,1544.498
222,,,565,1.128,1555.252
221,,,566,0.578,1541.349
220,,,567,0.144,1582.102
458,,,568,9.422,1478.357
458,,,569,0.364,1604.391
458,,,570,4.224,1506.212
458,,,571,0.421,1499.196
458,,,572,0.891,1506.569
458,,,573,0.802,1471.495
458,,,574,0.904,1402.414
458,,unlabeled subplot,575,0.259,1455.773
458,,,576,0.656,1426.729
458,,,577,0.904,1599.893
458,,,578,1.812,1568.792
219,,,579,1.678,1485.914
466,,,580,3.236,1418.561
218,,,581,0.222,1517.107
457,,,582,1.392,1583.169
456,,,583,5.638,1680.602
452,,,584,3.137,1363.735
452,,,585,19.641,1443.691
522,,,586,15.793,1399.436
525,,,587,13.622,1138.844
592,,,588,17.556,350.113
535,,,589,1.192,216.274
535,,,590,6.582,218.361
535,,,591,7.774,234.470
535,,,592,6.246,389.318
535,,,593,10.895,291.763
533,,,594,12.262,633.525
526,,,595,18.926,920.151
531,,,596,13.481,851.772
530,,,597,3.564,1002.449
530,,,598,5.388,1032.064
532,,,599,11.317,860.987
540,,,600,4.518,744.319
540,,,601,5.986,889.699
540,,,602,3.135,967.010
528,,,603,3.621,1015.005
529,,,604,3.218,1212.706
529,,,605,3.666,1259.574
527,,,606,17.873,1093.651
529,,,607,7.528,1089.875
435,,,608,9.183,1376.000
435,,,609,9.491,1517.649
434,,,610,5.449,1405.065
434,,,611,10.871,1417.233
433,,,612,3.060,1312.904
433,,,613,3.513,1284.021
432,,,614,2.001,1172.722
432,,,615,1.420,1135.521
432,,,616,1.779,1101.772
542,,,617,4.135,591.899
542,,,618,7.389,694.450
540,,,619,4.939,1009.340
541,,,620,9.744,1010.045
543,,,621,5.458,739.923
544,,,622,2.424,778.945
544,,,623,2.568,738.960
431,,,624,45.742,887.674
438,,,625,0.824,1561.911
523,,,626,17.154,1497.888
524,,,627,22.944,1317.080
446,,,628,5.472,1627.685
446,,,629,11.802,1617.323
445,,,630,19.710,1618.643
448,,,631,2.738,1926.030
444,,,632,5.182,1763.269
447,,,633,8.405,1734.547
447,,,634,2.893,1775.919
2,,,635,6.221,0.000
3,,,636,4.207,0.000
3,,,637,3.219,219.310
3,,,638,4.207,58.614
3,,,639,4.271,165.264
3,,,640,7.165,0.000
4,,,641,4.002,347.273
4,,,642,4.211,0.000
4,,,643,2.876,62.268
4,,,644,5.033,0.000
4,,,645,2.999,360.563
4,,,646,0.586,281.654
4,,,647,0.728,280.399
4,,,648,0.850,197.721
4,,,649,0.841,325.025
