plot,sub,flag,pid,area_ac,bnd_km
124,,,149,2.546,0.550
126,,,150,1.342,0.559
127,,,151,0.892,0.545
144,,,152,18.212,0.166
145,,,153,7.138,0.116
149,,,154,12.488,0.000
146,,,155,8.144,0.042
148,,,156,5.319,0.000
120,,,157,4.936,0.752
3,,,158,3.130,0.968
4,,,159,1.741,1.096
5,,,160,2.465,0.993
7,,,161,0.811,1.148
119,,,162,2.420,0.862
6,,,163,2.428,1.047
8,,,164,0.968,1.237
10,,,165,2.139,1.178
9,,,166,2.206,1.258
11,,,167,2.845,1.223
12,,,168,3.502,1.262
N/A,,Unknown Plot #,169,0.303,1.258
632,,,170,10.703,1.041
411,,,171,1.820,1.168
413,,,172,0.543,1.245
628,,,173,2.826,1.258
412,,,174,3.022,1.238
529,,,175,2.351,1.331
409,,,176,2.200,1.202
281,,,177,2.357,0.851
282,,,178,4.952,0.747
N/A,,Unknown Plot #,179,0.303,0.398
283,,,180,15.955,0.450
284,,,181,2.620,0.395
284,,,182,3.303,0.314
284,,,183,3.174,0.250
284,,,184,3.186,0.199
285,,,185,10.190,0.042
286,,,186,12.842,0.043
290,,,187,11.698,0.448
289,,,188,14.174,0.260
287,,,189,12.032,0.000
274,,,190,41.401,0.000
288,,,191,8.898,0.000
308,,,192,1.991,0.000
307,,,193,2.216,0.058
306,,,194,0.540,0.133
303,,,195,12.834,0.000
304,,,196,1.020,0.233
303,,,197,0.842,0.262
291,,,198,13.444,0.392
301,,,199,1.582,0.392
300,,,200,2.072,0.441
302,,,201,5.953,0.299
297,,,202,1.221,0.299
299,,,203,1.096,0.397
296,,,204,0.460,0.299
298,,,205,1.791,0.397
N/A,,Unknown Plot #,206,0.561,0.337
294,,,207,1.784,0.347
305,,,208,2.638,0.143
313,,,209,2.139,0.234
312,,,210,2.390,0.141
311,,,211,1.236,0.104
310,,,212,1.621,0.041
309,,,213,1.282,0.000
315,,,214,2.249,0.204
317,,,215,8.061,0.000
N/A,,Unknown Plot #,216,3.705,0.000
324,,,217,1.608,0.000
323,,,218,0.888,0.122
N/A,,Unknown Plot #,219,0.894,0.000
326,,,220,2.246,0.000
332,,,221,2.144,0.000
N/A,,Unknown Plot #,222,1.469,0.285
293,,,223,6.622,0.373
365,,,224,0.341,0.540
292,,,225,9.114,0.524
394,,,226,0.805,0.898
393,,,227,7.863,0.774
392,,,228,4.561,0.650
395,,,229,12.486,0.799
410,,,230,11.228,0.922
396,,,231,2.810,1.077
397,,,232,11.808,0.910
398,,,233,3.333,1.032
N/A,,Unknown Plot #,234,0.255,1.095
408,,,235,1.431,1.136
85,,,236,2.947,0.000
84,,,237,3.090,0.000
83,,,238,2.831,0.000
93,,,239,1.567,0.086
94,,,240,5.627,0.101
92,,,241,4.772,0.111
86,,,242,9.492,0.068
95,,,243,2.340,0.248
81,,,244,5.808,0.074
80,,,245,4.153,0.000
82,,,246,7.829,0.000
91,,,247,3.002,0.348
87,,,248,6.503,0.308
88,,,249,1.659,0.334
147,,,250,12.749,0.067
114,,,251,3.820,0.363
115,,,252,1.941,0.393
116,,,253,0.868,0.604
111,,,254,0.296,0.632
112,,,255,5.663,0.632
113,,,256,1.708,0.561
89,,,257,10.273,0.412
117,,,258,18.991,0.299
109,,,259,5.539,0.778
118,,,260,3.869,0.832
107,,,261,4.403,0.919
106,,,262,11.333,0.997
108,,,263,5.199,0.828
110,,,264,8.072,0.590
103,,,265,1.192,0.675
96,,,266,4.688,0.218
90,,,267,4.084,0.392
98,,,268,3.708,0.353
97,,,269,5.124,0.283
79,,,270,6.970,0.111
78,,,271,7.264,0.070
77,,,272,4.925,0.152
76,,,273,3.503,0.209
75,,,274,3.367,0.273
74,,,275,5.357,0.289
72,,,276,4.628,0.368
66,,,277,35.443,0.000
71,,,278,7.790,0.287
68,,,279,0.668,0.401
67,,,280,4.812,0.293
68,,,281,3.874,0.409
69,,,282,5.730,0.446
70,,,283,8.315,0.473
